Joints
100
,,Ben_Johnston:World_Lower,,,,,,Ben_Johnston:World_Upper,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm

Trajectories
100
,,Ben_Johnston:Base,,,Ben_Johnston:L5,,,Ben_Johnston:UpperVert,,,Ben_Johnston:Shoulder,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
100,0,-2.97155,-11.0394,1031.57,11.0628,-14.2,1157.03,-17.122,-15.5639,1404.34,6.82771,96.4312,1331.28
101,0,-3.2834,-11.0107,1031.56,10.7432,-14.2405,1157,-17.3691,-15.6989,1404.31,6.76009,96.3751,1331.3
102,0,-3.58448,-10.99,1031.54,10.4096,-14.3016,1156.96,-17.6474,-15.8387,1404.28,6.40714,96.1516,1331.19
103,0,-3.91432,-11.0026,1031.53,10.116,-14.3426,1156.94,-17.9166,-15.9503,1404.24,6.81419,96.3273,1331.43
104,0,-4.212,-10.9973,1031.53,9.83799,-14.3837,1156.9,-18.199,-16.0585,1404.21,6.15221,96.0556,1331.25
105,0,-4.50659,-10.9907,1031.52,9.59985,-14.4108,1156.87,-18.4653,-16.1706,1404.18,5.05765,95.4724,1331.03
106,0,-4.79582,-10.9842,1031.5,9.34375,-14.4214,1156.82,-18.7031,-16.2636,1404.16,5.16089,95.6026,1331.12
107,0,-5.06005,-10.9806,1031.47,9.05819,-14.454,1156.78,-18.9576,-16.3489,1404.14,5.12416,95.6891,1331.28
108,0,-5.31676,-11.0042,1031.46,8.75676,-14.4972,1156.77,-19.2292,-16.4335,1404.12,5.02332,95.6721,1331.26
109,0,-5.60305,-11.0425,1031.46,8.47065,-14.5571,1156.77,-19.5383,-16.5194,1404.1,4.81812,95.6401,1331.26
110,0,-5.85333,-11.0653,1031.46,8.2333,-14.5971,1156.76,-19.8271,-16.5995,1404.09,5.13621,95.8233,1331.43
111,0,-6.1017,-11.0925,1031.47,8.0183,-14.6125,1156.77,-20.0755,-16.657,1404.09,4.4066,95.6003,1331.31
112,0,-6.33739,-11.1145,1031.47,7.77662,-14.6278,1156.76,-20.2932,-16.6843,1404.08,3.30417,95.0548,1331.1
113,0,-6.57261,-11.1497,1031.46,7.52437,-14.6556,1156.74,-20.512,-16.7173,1404.06,3.00918,94.9976,1331.16
114,0,-6.80529,-11.1995,1031.45,7.24212,-14.6934,1156.72,-20.749,-16.752,1404.04,3.31908,95.3331,1331.26
115,0,-7.01661,-11.2381,1031.45,7.00255,-14.7325,1156.72,-21.0173,-16.8226,1404.03,3.34507,95.4685,1331.35
116,0,-7.22721,-11.2696,1031.46,6.77423,-14.7554,1156.72,-21.2896,-16.8735,1404.03,3.48551,95.6206,1331.45
