Trajectories
100
,,Ben_Johnston:Base,,,Ben_Johnston:L5,,,Ben_Johnston:UpperVert,,,Ben_Johnston:Shoulder,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
91,0,-30.8774,469.756,990.879,102.967,271.475,1061.25,248.674,68.9791,979.772,99.8327,61.8139,1007.25
92,0,-31.1135,469.74,991.063,102.657,271.747,1062.01,248.716,69.1215,981.079,99.8152,61.9281,1008.52
93,0,-31.3754,469.73,991.275,102.343,272.079,1062.91,248.692,69.2851,982.68,99.7123,62.1291,1009.95
94,0,-31.6668,469.763,991.588,101.88,272.537,1063.82,248.586,69.4843,984.607,99.5541,62.4043,1011.69
95,0,-32.0559,469.858,991.944,101.331,273.026,1064.92,248.443,69.7427,986.799,99.3271,62.7566,1013.64
96,0,-32.5073,469.977,992.361,100.612,273.636,1066.23,248.12,70.0572,989.365,99.034,63.1663,1015.87
97,0,-33.0932,470.113,992.822,99.7755,274.202,1067.7,247.804,70.4486,992.245,98.6378,63.6542,1018.35
98,0,-33.7769,470.265,993.413,98.7842,274.869,1069.36,247.495,70.944,995.529,98.1189,64.1023,1021.14
99,0,-34.5274,470.391,994.077,97.705,275.605,1071.25,247.027,71.4718,999.248,97.5334,64.643,1024.3
100,0,-35.2761,470.494,994.778,96.4717,276.434,1073.3,246.46,72.0575,1003.44,96.8025,65.3009,1027.8
101,0,-36.1136,470.648,995.58,95.1233,277.407,1075.65,245.827,72.7732,1008.14,95.87,66.0355,1031.69
102,0,-36.9338,470.84,996.441,93.6182,278.439,1078.21,245.041,73.438,1013.27,94.9387,66.9046,1036.08
103,0,-37.844,471.046,997.377,91.9286,279.626,1081.08,244.278,74.2754,1018.94,93.8346,67.8534,1040.9
104,0,-38.805,471.306,998.435,90.066,280.831,1084.2,243.359,75.1016,1025.4,92.7428,68.7482,1046.2
105,0,-39.816,471.484,999.57,87.9927,282.066,1087.64,242.237,76.0034,1032.24,91.3779,69.7645,1051.91
106,0,-40.891,471.686,1000.85,85.7574,283.316,1091.38,241.065,77.0868,1039.44,89.9579,70.743,1058.11
107,0,-42.0019,471.877,1002.18,83.3482,284.688,1095.41,239.731,78.2666,1047.35,88.2975,71.8763,1064.7
108,0,-43.1447,472.12,1003.6,80.7869,286.162,1099.69,238.203,79.5096,1055.89,86.4985,73.0361,1071.78
109,0,-44.2978,472.408,1005.02,78.1271,287.732,1104.2,236.498,80.842,1065.02,84.4366,74.3949,1079.24
110,0,-45.49,472.662,1006.48,75.3088,289.402,1108.94,234.529,82.3001,1074.71,82.2002,75.9314,1087.19
111,0,-46.7267,472.888,1007.96,72.4304,291.228,1113.89,232.467,83.9105,1084.9,79.7338,77.5742,1095.69
112,0,-47.9445,473.024,1009.44,69.4307,293.194,1119.05,230.192,85.6725,1095.7,77.1598,79.3899,1104.52
113,0,-49.1932,473.208,1010.99,66.3494,295.278,1124.37,227.749,87.6576,1107.05,74.4025,81.3234,1113.72
114,0,-50.4882,473.321,1012.55,63.1917,297.484,1129.85,225.003,89.7565,1118.72,71.4282,83.5588,1123.39
115,0,-51.6948,473.366,1014.14,59.9796,299.747,1135.49,222.024,92.1084,1130.85,67.9505,85.7118,1134.07
116,0,-52.7608,473.386,1015.75,56.6705,302.131,1141.32,218.93,94.5593,1143.41,65.2658,88.8602,1143.34
117,0,-53.7795,473.285,1017.41,53.2879,304.5,1147.48,215.622,97.2343,1156.31,61.8892,91.5632,1153.55
118,0,-54.6526,473.116,1019.13,50.2695,307.173,1153.35,212.123,100.075,1169.56,58.3699,94.5113,1164.26
119,0,-55.3642,472.837,1020.88,46.9727,309.792,1159.48,208.385,103.124,1183.09,54.6624,97.6891,1175.23
120,0,-55.9321,472.385,1022.73,44.0775,312.692,1165.59,204.465,106.413,1196.91,50.7694,101.161,1186.37
121,0,-56.3132,471.82,1024.55,40.9217,315.48,1171.71,200.333,109.864,1210.95,46.755,104.705,1197.71
122,0,-56.4905,471.131,1026.43,37.8205,318.327,1177.82,196.001,113.524,1225.11,42.6035,108.604,1209.09
123,0,-56.4945,470.215,1028.33,34.7849,321.205,1183.83,191.449,117.453,1239.37,38.3404,112.664,1220.53
124,0,-56.3705,469.216,1030.14,31.7528,324.141,1189.75,186.767,121.63,1253.69,33.979,116.938,1231.96
125,0,-55.9863,468.014,1031.9,28.8107,327.092,1195.5,181.891,125.97,1267.97,29.4742,121.494,1243.38
126,0,-55.4225,466.71,1033.65,25.8914,330.08,1201.15,176.876,130.639,1282.17,24.7791,126.252,1254.88
127,0,-54.621,465.182,1035.24,23.0808,333.093,1206.6,171.689,135.589,1296.29,19.9305,131.297,1266.24
128,0,-53.591,463.549,1036.72,20.2808,336.079,1211.75,166.323,140.739,1310.22,15.4113,136.624,1277.06
129,0,-52.3046,461.746,1038.05,17.5677,339.093,1216.65,160.783,146.164,1323.92,10.4369,142.065,1287.78
130,0,-50.8739,459.773,1039.25,14.9364,342.084,1221.22,155.043,151.869,1337.27,5.40595,147.78,1298.11
131,0,-49.1411,457.676,1040.34,12.4425,344.998,1225.44,149.117,157.79,1350.26,0.332021,153.61,1307.95
132,0,-47.2628,455.376,1041.27,10.0576,347.865,1229.22,143.066,164.009,1362.76,-4.82257,159.584,1317.36
133,0,-45.2371,452.936,1042.07,7.75631,350.613,1232.54,136.909,170.371,1374.69,-9.9677,165.788,1326.15
134,0,-43.1579,450.32,1042.71,5.51475,353.199,1235.43,130.65,176.902,1386.01,-15.194,172.051,1334.42
135,0,-41.009,447.555,1043.25,3.40015,355.653,1237.86,124.265,183.617,1396.68,-20.383,178.424,1342.02
136,0,-38.8819,444.63,1043.65,1.33083,357.912,1239.92,117.739,190.479,1406.73,-25.6582,184.787,1349.06
137,0,-36.7156,441.55,1043.98,-0.6534,359.99,1241.49,111.121,197.435,1416.1,-30.8903,191.203,1355.38
138,0,-34.5182,438.318,1044.17,-2.47926,361.872,1242.57,104.453,204.422,1424.72,-36.0729,197.272,1360.81
139,0,-32.3405,434.989,1044.24,-4.23895,363.582,1243.24,97.8119,211.248,1432.47,-41.381,203.517,1365.61
140,0,-30.2452,431.516,1044.18,-5.86791,365.061,1243.48,91.1597,218.032,1439.36,-46.5721,209.512,1369.55
141,0,-28.1473,428.002,1044.02,-7.34755,366.359,1243.37,84.3335,225.295,1445.75,-51.7084,215.322,1372.77
142,0,-26.0397,424.383,1043.77,-8.69587,367.448,1242.94,77.1086,233.289,1451.6,-56.5685,220.838,1375.21
143,0,-23.9463,420.678,1043.4,-9.94029,368.391,1242.02,70.7631,239.846,1456.21,-61.5059,226.613,1377.21
144,0,-21.8317,416.979,1042.92,-11.0538,369.193,1240.85,64.4711,246.379,1460.13,-66.1147,231.892,1378.46
145,0,-19.8032,413.31,1042.39,-12.0502,369.74,1239.45,58.3694,252.652,1463.42,-70.4286,236.663,1379.23
