Segments
100
,,Ben_Johnston:Lower,,,,,,Ben_Johnston:Upper,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm

Trajectories
100
,,Ben_Johnston:Base,,,Ben_Johnston:L5,,,Ben_Johnston:UpperVert,,,Ben_Johnston:Shoulder,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
166,0,137.78,-11.6468,1023.28,134.473,-13.7175,1197.17,157.116,-19.6165,1420.88,135.843,106.324,1419.33
167,0,137.806,-11.6573,1023.26,134.48,-13.7337,1197.18,157.168,-19.6191,1420.89,135.895,106.313,1419.32
168,0,137.811,-11.6762,1023.25,134.502,-13.7399,1197.17,157.185,-19.6447,1420.89,135.951,106.304,1419.31
169,0,137.81,-11.6784,1023.24,134.531,-13.7475,1197.16,157.23,-19.667,1420.87,136.031,106.288,1419.29
170,0,137.841,-11.7178,1023.23,134.546,-13.7925,1197.16,157.266,-19.694,1420.86,136.126,106.245,1419.28
171,0,137.839,-11.7211,1023.21,134.593,-13.833,1197.16,157.346,-19.7415,1420.83,136.233,106.22,1419.27
172,0,137.842,-11.7183,1023.23,134.62,-13.8475,1197.16,157.383,-19.7917,1420.81,136.331,106.18,1419.23
173,0,137.864,-11.7308,1023.23,134.639,-13.8721,1197.14,157.427,-19.809,1420.79,136.385,106.174,1419.21
174,0,137.848,-11.7647,1023.21,134.675,-13.893,1197.13,157.442,-19.8432,1420.79,136.441,106.143,1419.24
175,0,137.878,-11.7718,1023.21,134.682,-13.9229,1197.11,157.464,-19.835,1420.81,136.458,106.143,1419.24
176,0,137.928,-11.801,1023.2,134.718,-13.947,1197.11,157.479,-19.8195,1420.81,136.535,106.124,1419.23
177,0,137.958,-11.8053,1023.18,134.736,-13.9344,1197.11,157.529,-19.8226,1420.81,136.543,106.109,1419.22
178,0,137.981,-11.8324,1023.18,134.771,-13.9582,1197.11,157.542,-19.8605,1420.79,136.644,106.106,1419.22
179,0,138.023,-11.8431,1023.17,134.786,-13.9593,1197.08,157.578,-19.8726,1420.8,136.676,106.081,1419.22
180,0,138.023,-11.843,1023.17,134.797,-13.971,1197.07,157.612,-19.8466,1420.78,136.721,106.06,1419.19
181,0,138.043,-11.8543,1023.14,134.837,-13.9743,1197.08,157.644,-19.8548,1420.76,136.784,106.066,1419.18
182,0,138.092,-11.8482,1023.13,134.841,-13.9584,1197.08,157.66,-19.8515,1420.76,136.832,106.047,1419.18
183,0,138.092,-11.8481,1023.13,134.875,-13.9418,1197.07,157.694,-19.8555,1420.74,136.889,106.038,1419.18
184,0,138.126,-11.8305,1023.14,134.925,-13.9342,1197.07,157.715,-19.8361,1420.75,136.91,106.053,1419.17
185,0,138.169,-11.7902,1023.13,134.96,-13.9163,1197.07,157.745,-19.8233,1420.76,136.94,106.028,1419.17
186,0,138.23,-11.7752,1023.1,135.007,-13.9068,1197.07,157.762,-19.8411,1420.76,136.965,106.045,1419.15
187,0,138.245,-11.7728,1023.1,135.036,-13.8943,1197.06,157.81,-19.8466,1420.73,137.046,106.051,1419.08
188,0,138.299,-11.7838,1023.09,135.049,-13.9063,1197.06,157.843,-19.8935,1420.69,137.071,106.041,1419.08
189,0,138.34,-11.7463,1023.08,135.102,-13.9177,1197.06,157.865,-19.877,1420.72,137.098,106.038,1419.1
190,0,138.361,-11.7145,1023.1,135.132,-13.9273,1197.07,157.863,-19.8491,1420.74,137.123,106.01,1419.11
191,0,138.392,-11.7134,1023.1,135.165,-13.9601,1197.06,157.88,-19.8319,1420.77,137.143,106.023,1419.08
192,0,138.412,-11.7053,1023.12,135.174,-13.9857,1197.04,157.882,-19.8257,1420.76,137.166,106.014,1419.08
193,0,138.465,-11.7199,1023.14,135.216,-13.9886,1197.06,157.916,-19.8111,1420.76,137.199,106.018,1419.06
194,0,138.527,-11.7259,1023.14,135.25,-13.9739,1197.06,157.933,-19.8288,1420.76,137.195,106.007,1419.04
195,0,138.567,-11.6878,1023.13,135.268,-13.9705,1197.08,157.965,-19.8509,1420.75,137.218,105.997,1419.04
196,0,138.586,-11.6625,1023.14,135.304,-13.9912,1197.07,157.998,-19.8564,1420.76,137.233,105.996,1419.04
197,0,138.606,-11.652,1023.14,135.324,-13.9763,1197.09,158.016,-19.853,1420.78,137.271,105.989,1419.04
198,0,138.657,-11.6642,1023.13,135.372,-13.9698,1197.09,158.032,-19.8859,1420.78,137.282,106.003,1419.05
199,0,138.674,-11.6563,1023.15,135.42,-13.9635,1197.09,158.05,-19.8599,1420.78,137.307,105.994,1419.05
200,0,138.728,-11.6671,1023.14,135.47,-13.9558,1197.11,158.101,-19.8654,1420.79,137.331,106.009,1419.05
201,0,138.766,-11.69,1023.15,135.51,-13.9562,1197.11,158.12,-19.8421,1420.81,137.334,106.01,1419.05
202,0,138.814,-11.6843,1023.15,135.546,-13.9354,1197.1,158.154,-19.8196,1420.81,137.351,106.02,1419.07
203,0,138.864,-11.6986,1023.13,135.611,-13.9238,1197.1,158.205,-19.7797,1420.83,137.351,106.021,1419.07
204,0,138.909,-11.7416,1023.1,135.633,-13.8943,1197.1,158.255,-19.7826,1420.82,137.383,106.051,1419.07
205,0,138.974,-11.7431,1023.08,135.72,-13.8898,1197.09,158.292,-19.7703,1420.85,137.384,106.051,1419.07
206,0,139.029,-11.7517,1023.06,135.793,-13.8506,1197.1,158.378,-19.7251,1420.84,137.408,106.096,1419.07
207,0,139.086,-11.7374,1023.03,135.894,-13.8205,1197.09,158.463,-19.6922,1420.83,137.395,106.122,1419.08
208,0,139.138,-11.7248,1023.03,135.942,-13.7925,1197.08,158.563,-19.6627,1420.83,137.384,106.161,1419.08
